BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,Year,Month
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Virtual School,31112,Looked after children in Warrington,301000,01/07/2022,5100501618,1200.0,Carlton Academy Trust,118804,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,West Annexe,45161,Maintenance of Plant & Machinery,250050,01/07/2022,5100501621,1593.9,Generator Power Ltd,117550,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Vehicle & Plant Acq.,41312,Vehicle & Plant Purchase,301350,01/07/2022,5100501622,33065.0,GM Coachwork Ltd,111427,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Vehicle & Plant Acq.,41312,Vehicle & Plant Purchase,301350,01/07/2022,5100501622,1420.0,GM Coachwork Ltd,111427,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,One - Off ICT Costs,23200,Computer Software - Maintenance,450850,01/07/2022,5100501624,2400.0,Nta Monitor Limited,100967,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Environmental Projects,82007,Building Work,200850,01/07/2022,5100501626,6845.0,Complete Home Energy Systems,111861,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,ICT Centralised Budget,23100,Computer Software - Maintenance,450850,01/07/2022,5100501628,19160.0,WPC Software Ltd,117553,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG - Medical Needs,32002,Eotas Pupil Funding,490350,01/07/2022,5100501633,5811.5,Network Ventures Ltd,110554,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Lifts from Stock,400850,01/07/2022,5100501638,1081.64,Prism Medical UK,108616,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Recreation & Games,41431,Materials,400500,01/07/2022,5100501641,1420.0,David Webster & Sons Ltd,102202,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Recreation & Games,41431,Outdoor Pursuit,490550,01/07/2022,5100501642,1320.0,David Webster & Sons Ltd,102202,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Recreation & Games,41431,Outdoor Pursuit,490550,01/07/2022,5100501643,640.0,David Webster & Sons Ltd,102202,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,IGO,Property & Estates,86001,Consult.& Prof. Serv,440000,01/07/2022,5100501644,1700.0,Wsp Uk Ltd,103007,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Vehicle & Plant Acq.,41312,Vehicle & Plant Purchase,301350,01/07/2022,5100501645,8039.0,Trek-Trailers Ltd,118651,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Urban Traffic Management Control,44370,Signal Equipment,531650,01/07/2022,5100501646,12450.0,Clearview Intelligence,104751,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Post-16 Special Educational Needs,32309,Fees (Including Agents Fees),441450,01/07/2022,5100501648,2930.0,Roundway Centre Ltd,103640,2022,July
