BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,Year,Month
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Maintenance Work - Sub Contractors,301150,15/07/2022,5100503330,831.24,Johnston Sweepers Ltd,101251,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Environmental Projects,82007,Building Work,200850,19/08/2022,5100503333,5777.74,Broad Oak Properties Limited,118320,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Environmental Projects,82007,Building Work,200850,19/08/2022,5100503334,6521.86,Broad Oak Properties Limited,118320,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Environmental Projects,82007,Building Work,200850,02/08/2022,5100503335,7187.0,Broad Oak Properties Limited,118320,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Environmental Projects,82007,Payment of Grants,470050,02/08/2022,5100503336,1668.7,Cheshire West And Chester,103357,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Environmental Projects,82007,Building Work,200850,15/07/2022,5100503338,7572.0,Complete Home Energy Systems,111861,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Environmental Projects,82007,Building Work,200850,15/07/2022,5100503339,2355.0,Complete Home Energy Systems,111861,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Environmental Projects,82007,Building Work,200850,15/07/2022,5100503340,3695.0,Complete Home Energy Systems,111861,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Environmental Projects,82007,Building Work,200850,15/07/2022,5100503341,8213.0,Complete Home Energy Systems,111861,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Environmental Projects,82007,Building Work,200850,15/07/2022,5100503342,7054.0,Complete Home Energy Systems,111861,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Winter Preventions,53140,Emergency Accommodation Allowance,550500,15/07/2022,5100503347,1470.0,DANL Limited,116459,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Facilities Management,41422,Equipment Purchase & Contract,400000,15/07/2022,5100503349,810.0,David Webster & Sons Ltd,102202,2022,August
